USD,EURO,MLC,Fecha
680,760,490,2026-07-08 10:00
680,760,490,2026-07-08 09:00
680,760,490,2026-07-08 08:00
680,760,490,2026-07-08 07:00
680,760,490,2026-07-08 06:00
680,760,490,2026-07-08 05:00
680,760,490,2026-07-08 04:00
680,760,490,2026-07-08 03:00
680,760,490,2026-07-08 02:00
680,760,490,2026-07-08 01:00
680,760,490,2026-07-08 00:00
680,760,490,2026-07-07 23:00
680,760,490,2026-07-07 22:00
680,770,490,2026-07-07 21:00
680,770,485,2026-07-07 20:00
675,770,490,2026-07-07 19:00
675,770,485,2026-07-07 18:00
675,770,485,2026-07-07 17:00
675,770,485,2026-07-07 16:00
675,760,485,2026-07-07 15:00
675,760,485,2026-07-07 14:00
680,760,480,2026-07-07 13:00
680,760,480,2026-07-07 12:00
680,770,480,2026-07-07 11:00
680,770,490,2026-07-07 10:00
680,760,490,2026-07-07 09:00
680,760,490,2026-07-07 08:00
680,765,490,2026-07-07 07:00
680,765,490,2026-07-07 06:00
680,770,490,2026-07-07 05:00
680,770,490,2026-07-07 04:00
680,770,490,2026-07-07 03:00
680,770,490,2026-07-07 02:00
680,770,490,2026-07-07 01:00
680,770,490,2026-07-07 00:00
680,770,490,2026-07-06 23:00
680,770,490,2026-07-06 22:00
680,765,490,2026-07-06 21:00
680,770,490,2026-07-06 20:00
680,770,490,2026-07-06 19:00
680,770,480,2026-07-06 18:00
675,770,490,2026-07-06 17:00
675,770,490,2026-07-06 16:00
675,770,490,2026-07-06 15:00
675,760,490,2026-07-06 14:00
670,760,490,2026-07-06 13:00
672,760,490,2026-07-06 12:00
670,760,490,2026-07-06 11:00
670,770,500,2026-07-06 10:00
670,770,500,2026-07-06 09:00
670,770,500,2026-07-06 08:00
670,770,500,2026-07-06 07:00
670,770,490,2026-07-06 06:00
670,765,490,2026-07-06 05:00
670,765,490,2026-07-06 04:00
670,765,490,2026-07-06 03:00
670,765,490,2026-07-06 02:00
670,760,490,2026-07-06 01:00
670,760,490,2026-07-06 00:00
670,760,490,2026-07-05 23:00
670,762,500,2026-07-05 22:00
670,760,490,2026-07-05 21:00
670,760,490,2026-07-05 20:00
670,760,490,2026-07-05 19:00
670,760,490,2026-07-05 18:00
670,760,490,2026-07-05 17:00
670,760,490,2026-07-05 16:00
670,760,490,2026-07-05 15:00
665,750,490,2026-07-05 14:00
665,750,490,2026-07-05 13:00
660,750,500,2026-07-05 12:00
660,750,500,2026-07-05 11:00
660,750,500,2026-07-05 10:00
660,750,500,2026-07-05 09:00
660,750,500,2026-07-05 08:00
660,750,500,2026-07-05 07:00
660,750,495,2026-07-05 06:00
660,750,495,2026-07-05 05:00
660,750,495,2026-07-05 04:00
660,750,495,2026-07-05 03:00
660,750,490,2026-07-05 02:00
660,750,490,2026-07-05 01:00
660,750,490,2026-07-05 00:00
660,750,490,2026-07-04 23:00
660,750,490,2026-07-04 22:00
660,750,490,2026-07-04 21:00
660,750,490,2026-07-04 20:00
660,750,495,2026-07-04 19:00
660,750,495,2026-07-04 18:00
652,750,495,2026-07-04 17:00
653,750,495,2026-07-04 16:00
650,750,490,2026-07-04 15:00
650,750,490,2026-07-04 14:00
650,730,490,2026-07-04 13:00
650,730,490,2026-07-04 12:00
650,720,490,2026-07-04 11:00
650,720,490,2026-07-04 10:00
650,720,495,2026-07-04 09:00
645,720,490,2026-07-04 08:00
645,720,492,2026-07-04 07:00
645,720,492,2026-07-04 06:00
645,720,492,2026-07-04 05:00
645,720,492,2026-07-04 04:00
645,720,492,2026-07-04 03:00
645,720,492,2026-07-04 02:00
645,720,492,2026-07-04 01:00
645,720,490,2026-07-04 00:00
645,720,490,2026-07-03 23:00
645,720,490,2026-07-03 22:00
645,720,487,2026-07-03 21:00
645,720,490,2026-07-03 20:00
640,720,490,2026-07-03 19:00
640,720,490,2026-07-03 18:00
640,720,490,2026-07-03 17:00
640,720,490,2026-07-03 16:00
640,720,495,2026-07-03 15:00
640,720,495,2026-07-03 14:00
640,720,495,2026-07-03 13:00
635,720,500,2026-07-03 12:00
635,720,500,2026-07-03 11:00
635,720,500,2026-07-03 10:00
635,720,500,2026-07-03 09:00
635,720,500,2026-07-03 08:00
630,720,500,2026-07-03 07:00
630,720,500,2026-07-03 06:00
630,720,500,2026-07-03 05:00
630,720,500,2026-07-03 04:00
630,720,500,2026-07-03 03:00
630,720,500,2026-07-03 02:00
630,720,500,2026-07-03 01:00
630,720,500,2026-07-03 00:00
630,720,500,2026-07-02 23:00
630,720,500,2026-07-02 22:00
630,720,500,2026-07-02 21:00
630,720,500,2026-07-02 20:00
630,715,490,2026-07-02 19:00
630,715,490,2026-07-02 18:00
630,712,497,2026-07-02 17:00
630,710,500,2026-07-02 16:00
630,715,500,2026-07-02 15:00
630,715,500,2026-07-02 14:00
625,710,500,2026-07-02 13:00
625,715,495,2026-07-02 12:00
625,710,497,2026-07-02 11:00
620,710,500,2026-07-02 10:00
620,700,497,2026-07-02 09:00
620,700,497,2026-07-02 08:00
620,700,497,2026-07-02 07:00
620,700,497,2026-07-02 06:00
620,700,497,2026-07-02 05:00
620,700,497,2026-07-02 04:00
620,700,497,2026-07-02 03:00
620,700,500,2026-07-02 02:00
620,700,500,2026-07-02 01:00
620,700,500,2026-07-02 00:00
620,700,500,2026-07-01 23:00
620,700,500,2026-07-01 22:00
620,700,500,2026-07-01 21:00
620,700,500,2026-07-01 20:00
620,700,500,2026-07-01 19:00
620,700,500,2026-07-01 18:00
620,700,500,2026-07-01 17:00
620,700,500,2026-07-01 16:00
615,700,500,2026-07-01 15:00
615,700,530,2026-07-01 14:00
610,700,530,2026-07-01 13:00
610,700,530,2026-07-01 12:00
610,700,500,2026-07-01 11:00
610,700,500,2026-07-01 10:00
610,700,500,2026-07-01 09:00
610,700,500,2026-07-01 08:00
610,700,500,2026-07-01 07:00
610,700,515,2026-07-01 06:00
610,700,515,2026-07-01 05:00
610,700,515,2026-07-01 04:00
610,700,500,2026-07-01 03:00
610,700,500,2026-07-01 02:00
610,700,500,2026-07-01 01:00
610,700,500,2026-07-01 00:00
610,700,530,2026-06-30 23:00
610,700,515,2026-06-30 22:00
610,700,500,2026-06-30 21:00
610,700,500,2026-06-30 20:00
610,700,490,2026-06-30 19:00
610,700,490,2026-06-30 18:00
610,700,500,2026-06-30 17:00
605,700,525,2026-06-30 16:00
605,700,525,2026-06-30 15:00
605,700,525,2026-06-30 14:00
605,700,495,2026-06-30 13:00
605,700,500,2026-06-30 12:00
608,700,500,2026-06-30 11:00
605,700,500,2026-06-30 10:00
600,700,490,2026-06-30 09:00
600,700,490,2026-06-30 08:00
600,700,490,2026-06-30 07:00
600,700,490,2026-06-30 06:00
600,700,490,2026-06-30 05:00
600,700,490,2026-06-30 04:00
600,700,490,2026-06-30 03:00
601,700,490,2026-06-30 02:00
600,700,490,2026-06-30 01:00
600,700,490,2026-06-30 00:00
601,700,495,2026-06-29 23:00
600,700,490,2026-06-29 22:00
600,700,495,2026-06-29 21:00
600,700,500,2026-06-29 20:00
600,700,500,2026-06-29 19:00
600,700,500,2026-06-29 18:00
600,700,500,2026-06-29 17:00
605,700,530,2026-06-29 16:00
605,700,530,2026-06-29 15:00
605,700,530,2026-06-29 14:00
605,700,510,2026-06-29 13:00
610,700,500,2026-06-29 12:00
610,700,500,2026-06-29 11:00
610,700,500,2026-06-29 10:00
610,700,490,2026-06-29 09:00
610,700,490,2026-06-29 08:00
610,700,490,2026-06-29 07:00
610,700,490,2026-06-29 06:00
610,700,490,2026-06-29 05:00
610,700,490,2026-06-29 04:00
610,700,490,2026-06-29 03:00
610,700,490,2026-06-29 02:00
620,700,490,2026-06-29 01:00
610,700,485,2026-06-29 00:00
610,700,485,2026-06-28 23:00
610,700,487,2026-06-28 22:00
610,700,487,2026-06-28 21:00
610,700,487,2026-06-28 20:00
610,700,490,2026-06-28 19:00
610,700,480,2026-06-28 18:00
610,700,480,2026-06-28 17:00
610,700,500,2026-06-28 16:00
610,700,500,2026-06-28 15:00
610,700,590,2026-06-28 14:00
615,700,510,2026-06-28 13:00
620,710,500,2026-06-28 12:00
620,715,480,2026-06-28 11:00
620,715,482,2026-06-28 10:00
620,720,485,2026-06-28 09:00
